TEST                                                 SEED RESULT
----                                                 ---- ------
riscv_arithmetic_basic_test                          1000 PASS
riscv_arithmetic_basic_test                          2000 PASS
riscv_arithmetic_basic_test                          3000 PASS
riscv_arithmetic_basic_test                          4000 PASS
riscv_arithmetic_basic_test                          5000 PASS
riscv_arithmetic_basic_test                          6000 PASS
riscv_arithmetic_basic_test                          7000 PASS
riscv_arithmetic_basic_test                          8000 PASS
riscv_rv32im_instr_test                              1000 PASS
riscv_rv32im_instr_test                              2000 PASS
riscv_rv32im_instr_test                              3000 PASS
riscv_rv32im_instr_test                              4000 PASS
riscv_rv32im_instr_test                              5000 PASS
riscv_rv32im_instr_test                              6000 PASS
riscv_rv32im_instr_test                              7000 PASS
riscv_rv32im_instr_test                              8000 PASS
riscv_machine_mode_rand_test                         1000 PASS
riscv_machine_mode_rand_test                         2000 PASS
riscv_machine_mode_rand_test                         3000 PASS
riscv_machine_mode_rand_test                         4000 PASS
riscv_machine_mode_rand_test                         5000 PASS
riscv_machine_mode_rand_test                         6000 PASS
riscv_machine_mode_rand_test                         7000 PASS
riscv_machine_mode_rand_test                         8000 PASS
riscv_rand_instr_test                                1000 FAIL (mismatch)
riscv_rand_instr_test                                2000 PASS
riscv_rand_instr_test                                3000 FAIL (mismatch)
riscv_rand_instr_test                                4000 PASS
riscv_rand_instr_test                                5000 PASS
riscv_rand_instr_test                                6000 FAIL (mismatch)
riscv_rand_instr_test                                7000 PASS
riscv_rand_instr_test                                8000 FAIL (mismatch)
riscv_rand_jump_test                                 1000 PASS
riscv_rand_jump_test                                 2000 PASS
riscv_rand_jump_test                                 3000 PASS
riscv_rand_jump_test                                 4000 PASS
riscv_rand_jump_test                                 5000 FAIL (run error)
riscv_rand_jump_test                                 6000 PASS
riscv_rand_jump_test                                 7000 PASS
riscv_rand_jump_test                                 8000 PASS
riscv_jump_stress_test                               1000 PASS
riscv_jump_stress_test                               2000 PASS
riscv_jump_stress_test                               3000 PASS
riscv_jump_stress_test                               4000 PASS
riscv_jump_stress_test                               5000 PASS
riscv_jump_stress_test                               6000 PASS
riscv_jump_stress_test                               7000 PASS
riscv_jump_stress_test                               8000 PASS
riscv_loop_test                                      1000 PASS
riscv_loop_test                                      2000 PASS
riscv_loop_test                                      3000 PASS
riscv_loop_test                                      4000 PASS
riscv_loop_test                                      5000 PASS
riscv_loop_test                                      6000 PASS
riscv_loop_test                                      7000 PASS
riscv_loop_test                                      8000 PASS
riscv_mmu_stress_test                                1000 PASS
riscv_mmu_stress_test                                2000 PASS
riscv_mmu_stress_test                                3000 PASS
riscv_mmu_stress_test                                4000 PASS
riscv_mmu_stress_test                                5000 PASS
riscv_mmu_stress_test                                6000 PASS
riscv_mmu_stress_test                                7000 PASS
riscv_mmu_stress_test                                8000 PASS
riscv_unaligned_load_store_test                      1000 PASS
riscv_unaligned_load_store_test                      2000 PASS
riscv_unaligned_load_store_test                      3000 PASS
riscv_unaligned_load_store_test                      4000 PASS
riscv_unaligned_load_store_test                      5000 PASS
riscv_unaligned_load_store_test                      6000 PASS
riscv_unaligned_load_store_test                      7000 PASS
riscv_unaligned_load_store_test                      8000 PASS
riscv_illegal_instr_test                             1000 PASS
riscv_illegal_instr_test                             2000 PASS
riscv_illegal_instr_test                             3000 PASS
riscv_illegal_instr_test                             4000 PASS
riscv_illegal_instr_test                             5000 PASS
riscv_illegal_instr_test                             6000 PASS
riscv_illegal_instr_test                             7000 PASS
riscv_illegal_instr_test                             8000 PASS
riscv_hint_instr_test                                1000 PASS
riscv_hint_instr_test                                2000 PASS
riscv_hint_instr_test                                3000 PASS
riscv_hint_instr_test                                4000 PASS
riscv_hint_instr_test                                5000 PASS
riscv_hint_instr_test                                6000 PASS
riscv_hint_instr_test                                7000 PASS
riscv_hint_instr_test                                8000 PASS
riscv_ebreak_test                                    1000 PASS
riscv_ebreak_test                                    2000 PASS
riscv_ebreak_test                                    3000 PASS
riscv_ebreak_test                                    4000 PASS
riscv_ebreak_test                                    5000 PASS
riscv_ebreak_test                                    6000 PASS
riscv_ebreak_test                                    7000 PASS
riscv_ebreak_test                                    8000 PASS
riscv_user_mode_rand_test                            1000 PASS
riscv_user_mode_rand_test                            2000 PASS
riscv_user_mode_rand_test                            3000 PASS
riscv_user_mode_rand_test                            4000 PASS
riscv_user_mode_rand_test                            5000 PASS
riscv_user_mode_rand_test                            6000 PASS
riscv_user_mode_rand_test                            7000 PASS
riscv_user_mode_rand_test                            8000 PASS
riscv_pmp_basic_test                                 1000 PASS
riscv_pmp_basic_test                                 2000 PASS
riscv_pmp_basic_test                                 3000 PASS
riscv_pmp_basic_test                                 4000 PASS
riscv_pmp_basic_test                                 5000 PASS
riscv_pmp_basic_test                                 6000 PASS
riscv_pmp_basic_test                                 7000 PASS
riscv_pmp_basic_test                                 8000 PASS

==========================================
 107 passed, 5 failed out of 112 total
 Seeds: 1000 2000 3000 4000 5000 6000 7000 8000
 Fri Mar  6 01:57:58 EST 2026
