test,seed,irq_num,assert_cycle,handler_cycle,latency_cycles
riscv_single_interrupt_test,1000,1,500,508,8
riscv_single_interrupt_test,1000,2,808,815,7
riscv_single_interrupt_test,1000,3,1115,1122,7
riscv_single_interrupt_test,1000,4,1422,1429,7
riscv_single_interrupt_test,1000,5,1729,1739,10
riscv_single_interrupt_test,1000,6,2039,2045,6
riscv_single_interrupt_test,1000,7,2345,2352,7
riscv_single_interrupt_test,1000,8,2652,2659,7
riscv_single_interrupt_test,1000,9,2959,2966,7
riscv_single_interrupt_test,1000,10,3266,3282,16
riscv_single_interrupt_test,1000,11,3582,3611,29
riscv_single_interrupt_test,1000,12,3911,3918,7
riscv_single_interrupt_test,1000,13,4218,4228,10
riscv_single_interrupt_test,1000,14,4528,4534,6
riscv_single_interrupt_test,1000,15,4834,4842,8
riscv_single_interrupt_test,1000,16,5142,5149,7
riscv_single_interrupt_test,1000,17,5449,5456,7
riscv_single_interrupt_test,1000,18,5756,5789,33
riscv_single_interrupt_test,1000,19,6089,6096,7
riscv_single_interrupt_test,1000,20,6396,6432,36
riscv_single_interrupt_test,2000,1,500,507,7
riscv_single_interrupt_test,2000,2,807,826,19
riscv_single_interrupt_test,2000,3,1126,1133,7
riscv_single_interrupt_test,2000,4,1433,1442,9
riscv_single_interrupt_test,2000,5,1742,1754,12
riscv_single_interrupt_test,2000,6,2054,2061,7
riscv_single_interrupt_test,2000,7,2361,2368,7
riscv_single_interrupt_test,2000,8,2668,2675,7
riscv_single_interrupt_test,2000,9,2975,2996,21
riscv_single_interrupt_test,2000,10,3296,3303,7
riscv_single_interrupt_test,2000,11,3603,3639,36
riscv_single_interrupt_test,2000,12,3939,3946,7
riscv_single_interrupt_test,2000,13,4246,4258,12
riscv_single_interrupt_test,2000,14,4558,4565,7
riscv_single_interrupt_test,2000,15,4865,4872,7
riscv_single_interrupt_test,2000,16,5172,5179,7
riscv_single_interrupt_test,2000,17,5479,5486,7
riscv_single_interrupt_test,2000,18,5786,5798,12
riscv_single_interrupt_test,2000,19,6098,6105,7
riscv_single_interrupt_test,2000,20,6405,6412,7
riscv_single_interrupt_test,3000,1,500,523,23
riscv_single_interrupt_test,3000,2,823,848,25
riscv_single_interrupt_test,3000,3,1148,1155,7
riscv_single_interrupt_test,3000,4,1455,1462,7
riscv_single_interrupt_test,3000,5,1762,1773,11
riscv_single_interrupt_test,3000,6,2073,2079,6
riscv_single_interrupt_test,3000,7,2379,2386,7
riscv_single_interrupt_test,3000,8,2686,2706,20
riscv_single_interrupt_test,3000,9,3006,3023,17
riscv_single_interrupt_test,3000,10,3323,3349,26
riscv_single_interrupt_test,3000,11,3649,3669,20
riscv_single_interrupt_test,3000,12,3969,4008,39
riscv_single_interrupt_test,3000,13,4308,4315,7
riscv_single_interrupt_test,3000,14,4615,4622,7
riscv_single_interrupt_test,3000,15,4922,4961,39
riscv_single_interrupt_test,3000,16,5261,5271,10
riscv_single_interrupt_test,3000,17,5571,5604,33
riscv_single_interrupt_test,3000,18,5904,5911,7
riscv_single_interrupt_test,3000,19,6211,6226,15
riscv_single_interrupt_test,3000,20,6526,6551,25
riscv_single_interrupt_test,4000,1,500,513,13
riscv_single_interrupt_test,4000,2,813,819,6
riscv_single_interrupt_test,4000,3,1119,1126,7
riscv_single_interrupt_test,4000,4,1426,1433,7
riscv_single_interrupt_test,4000,5,1733,1740,7
riscv_single_interrupt_test,4000,6,2040,2047,7
riscv_single_interrupt_test,4000,7,2347,2357,10
riscv_single_interrupt_test,4000,8,2657,2664,7
riscv_single_interrupt_test,4000,9,2964,2971,7
riscv_single_interrupt_test,4000,10,3271,3278,7
riscv_single_interrupt_test,4000,11,3578,3585,7
riscv_single_interrupt_test,4000,12,3885,3892,7
riscv_single_interrupt_test,4000,13,4192,4199,7
riscv_single_interrupt_test,4000,14,4499,4506,7
riscv_single_interrupt_test,4000,15,4806,4819,13
riscv_single_interrupt_test,4000,16,5119,5162,43
riscv_single_interrupt_test,4000,17,5462,5481,19
riscv_single_interrupt_test,4000,18,5781,5789,8
riscv_single_interrupt_test,4000,19,6089,6096,7
riscv_single_interrupt_test,4000,20,6396,6403,7
riscv_single_interrupt_test,5000,1,500,521,21
riscv_single_interrupt_test,5000,2,821,828,7
riscv_single_interrupt_test,5000,3,1128,1135,7
riscv_single_interrupt_test,5000,4,1435,1442,7
riscv_single_interrupt_test,5000,5,1742,1750,8
riscv_single_interrupt_test,5000,6,2050,2057,7
riscv_single_interrupt_test,5000,7,2357,2365,8
riscv_single_interrupt_test,5000,8,2665,2683,18
riscv_single_interrupt_test,5000,9,2983,3001,18
riscv_single_interrupt_test,5000,10,3301,3319,18
riscv_single_interrupt_test,5000,11,3619,3637,18
riscv_single_interrupt_test,5000,12,3937,3955,18
riscv_single_interrupt_test,5000,13,4255,4273,18
riscv_single_interrupt_test,5000,14,4573,4616,43
riscv_single_interrupt_test,5000,15,4916,4923,7
riscv_single_interrupt_test,5000,16,5223,5260,37
riscv_single_interrupt_test,5000,17,5560,5588,28
riscv_single_interrupt_test,5000,18,5888,5898,10
riscv_single_interrupt_test,5000,19,6198,6222,24
riscv_single_interrupt_test,5000,20,6522,6546,24
riscv_multiple_interrupt_test,1000,1,500,542,42
riscv_multiple_interrupt_test,1000,2,842,871,29
riscv_multiple_interrupt_test,1000,3,1171,1178,7
riscv_multiple_interrupt_test,1000,4,1478,1485,7
